ResponseId,showingauthor,genrepick,m1_title,m2_title,m3_title,m4_title,m5_title,Duration (in seconds),time_workerid_Page Submit,time_genrepick_Page Submit,time_ranking_Page Submit,12_time_recctext_Page Submit,13_time_recctext_Page Submit,14_time_recctext_Page Submit,15_time_recctext_Page Submit,16_time_recctext_Page Submit,textsrc_M1,textsrc_M2,textsrc_M3,textsrc_M4,textsrc_M5,textsrc_M1_byhuman,textsrc_M2_byhuman,textsrc_M3_byhuman,textsrc_M4_byhuman,textsrc_M5_byhuman,prevwatchedbin_M1,prevwatchedbin_M2,prevwatchedbin_M3,prevwatchedbin_M4,prevwatchedbin_M5,rank5_M1,rank5_M2,rank5_M3,rank5_M4,rank5_M5,rankNunseen_M1,rankNunseen_M2,rankNunseen_M3,rankNunseen_M4,rankNunseen_M5,freetext_final
R_A4JTWMFQMTWxRsJ,False,The Dark Knight,Batman: Mask of the Phantasm,Streets of Fire,Takers,The Net,Miss Bala,980,13.945,14.378,93.51,179.607,180.496,103.061,197.844,151.034,A0,A2,A2,A0,A0,False,True,True,False,False,True,True,True,True,False,1,3,4,2,5,,,,,,
R_2EH1tvkbQOBLfbc,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,3111,5.215,466.371,1814.997,35.144,277.088,36.241,73.122,45.672,A0,A5,A5,A0,A4,False,True,True,False,True,False,False,False,False,True,1,4,2,5,3,0.0,0.75,0.25,1.0,,none
R_Uhe1Tx3DWiwGbZv,False,The Dark Knight,Batman: Mask of the Phantasm,Streets of Fire,Takers,The Net,Miss Bala,2706,12.048,12.846,216.79,100.098,180.917,130.453,318.941,196.889,A0,A4,A2,A4,A0,False,True,True,True,False,False,False,True,False,False,2,1,5,3,4,0.3333333333333333,0.0,,0.6666666666666666,1.0,Thank you.
R_3RkLOjcBpxnP5h5,False,The Lord of the Rings: The Fellowship of the Ring,The Three Musketeers,The 7th Voyage of Sinbad,The Dark Crystal,Dragonslayer,The Adventures of Robin Hood,829,6.524,7.832,100.754,135.744,124.433,153.702,144.737,117.577,A0,A1,A5,A2,A5,False,True,True,True,True,False,True,True,True,False,4,3,5,2,1,1.0,,,,0.0,Not that I can think of.
R_3oyy6TjH8rQPHy7,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,2764,11.958,12.959,211.948,432.485,237.377,629.214,189.952,143.37,A4,A0,A0,A0,A0,True,False,False,False,False,True,False,True,True,True,5,4,2,3,1,,,,,,no
R_2tgKu7mUvoyOmZV,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,614,12.984,19.547,85.911,260.139,34.396,45.045,60.287,53.186,A4,A0,A0,A0,A2,True,False,False,False,True,True,False,False,True,False,4,3,5,2,1,,0.5,1.0,,0.0,none
R_padgHtNt8yIlrvX,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,293,7.945,23.362,130.668,16.042,20.355,16.65,16.949,30.868,A5,A0,A0,A1,A0,True,False,False,True,False,False,False,False,False,True,4,2,1,5,3,0.75,0.25,0.0,1.0,,na
R_2DMl3jNED9lLAo0,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,1830,21.232,6.287,1335.239,93.759,53.792,32.864,35.829,141.982,A4,A0,A0,A3,A4,True,False,False,True,True,False,True,True,True,False,4,5,2,1,3,1.0,,,,0.0,NO
R_02QvoYAVX0AHWCZ,False,The Dark Knight,Batman: Mask of the Phantasm,Streets of Fire,Takers,The Net,Miss Bala,963,16.854,4.543,16.35,79.302,653.355,60.908,41.817,65.426,A1,A0,A2,A0,A0,True,False,True,False,False,True,False,False,False,False,1,5,3,2,4,,1.0,0.3333333333333333,0.0,0.6666666666666666,nothing
R_1kS16UaqB9OLDED,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,267,12.68,7.302,22.295,38.021,49.712,40.675,31.435,33.175,A2,A0,A1,A0,A5,True,False,True,False,True,False,True,False,False,False,5,3,2,4,1,1.0,,0.25,0.75,0.0,none
R_8eTuwKAHPjjQVhf,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,479,8.995,6.475,37.224,91.298,56.966,46.117,60.582,138.738,A3,A0,A3,A5,A0,True,False,True,True,False,True,False,False,False,False,1,2,3,5,4,,0.0,0.3333333333333333,1.0,0.6666666666666666,NO
R_1eXVMXKep5OgSzl,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,1084,4.163,20.842,153.355,177.043,308.147,79.203,193.058,104.449,A2,A0,A4,A1,A1,True,False,True,True,True,True,False,False,False,False,1,5,3,2,4,,1.0,0.3333333333333333,0.0,0.6666666666666666,GOOD
R_2xGaNtnRFKgTv3N,False,The Sixth Sense,Sleuth,Three Identical Strangers,Dream House,Dragonfly,Passengers,1491,6.259,16.955,234.977,166.699,258.19,326.444,283.8,165.802,A1,A4,A0,A0,A0,True,True,False,False,False,False,False,False,False,False,1,2,3,4,5,0.0,0.25,0.5,0.75,1.0,No
R_qxZJ4R6drorETRv,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,3255,19.393,140.485,127.471,23.142,52.744,2453.741,28.872,32.24,A5,A1,A0,A0,A2,True,True,False,False,True,False,False,True,False,False,1,3,4,5,2,0.0,0.5,,1.0,0.25,none
R_3CGYWHACx5UHLGw,False,The Sixth Sense,Sleuth,Three Identical Strangers,Dream House,Dragonfly,Passengers,2321,6.848,7.247,42.226,139.61,122.321,132.895,119.841,188.65,A3,A2,A0,A4,A0,True,True,False,True,False,False,True,False,False,False,3,5,4,2,1,0.6666666666666666,,1.0,0.3333333333333333,0.0,Thank you.
R_2w1DHhJWTxkd28K,False,The Sixth Sense,Sleuth,Three Identical Strangers,Dream House,Dragonfly,Passengers,924,11.922,12.422,130.386,167.12,103.737,173.442,143.1,127.264,A3,A2,A0,A1,A3,True,True,False,True,True,False,False,False,False,True,5,4,1,2,3,1.0,0.75,0.0,0.25,,no comments
R_1pFCaWfuxBHrmLi,False,Mission: Impossible,The Saint,The Sentinel,Chain Reaction,Sneakers,Ice Station Zebra,727,3.774,288.326,121.384,17.236,127.7,17.706,16.587,59.031,A2,A5,A1,A0,A0,True,True,True,False,False,False,True,False,False,False,1,5,3,2,4,0.0,,0.6666666666666666,0.3333333333333333,1.0,none
R_Zls8uVvPzphnefL,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,2111,4.212,30.988,461.605,264.498,311.403,199.248,530.746,248.997,A5,A3,A4,A0,A4,True,True,True,False,True,False,False,False,True,False,2,5,3,1,4,0.0,1.0,0.3333333333333333,,0.6666666666666666,none
R_279gccll379sXrg,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,2442,10.275,10.629,222.748,168.568,364.46,324.237,123.313,188.785,A1,A1,A3,A3,A0,True,True,True,True,False,False,False,False,False,False,2,1,4,3,5,0.25,0.0,0.75,0.5,1.0,Thank you.
R_2TGA0s8fEmy0UuL,True,The Lord of the Rings: The Fellowship of the Ring,The Three Musketeers,The 7th Voyage of Sinbad,The Dark Crystal,Dragonslayer,The Adventures of Robin Hood,1567,8.415,20.73,214.286,264.035,269.054,304.796,207.084,238.269,A0,A0,A0,A0,A2,False,False,False,False,True,False,False,True,False,False,4,5,2,3,1,0.75,1.0,,0.5,0.0,No.
R_paRl9CyohWwt3yx,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,1268,218.526,4.224,26.846,80.119,118.014,173.766,254.316,268.001,A0,A0,A0,A2,A0,False,False,False,True,False,False,False,False,False,True,4,5,3,1,2,0.75,1.0,0.5,0.0,,good survey
R_12tcnMTce3VpaPs,True,The Dark Knight,Batman: Mask of the Phantasm,Streets of Fire,Takers,The Net,Miss Bala,397,6.382,5.251,81.879,51.073,54.728,48.285,62.209,35.947,A0,A0,A0,A3,A1,False,False,False,True,True,True,False,False,False,False,1,3,4,5,2,,0.3333333333333333,0.6666666666666666,1.0,0.0,good
R_3qROtaqKj6iX70t,True,Inception,When Nietzsche Wept,The Old Man & the Gun,Reminiscence,Infinite,The Forgotten,843,2.251,5.081,82.961,110.18,122.662,136.77,158.994,144.836,A0,A0,A3,A0,A0,False,False,True,False,False,False,False,False,True,False,2,5,3,4,1,0.25,1.0,0.5,,0.0,
R_2tmtGrJjk83zlxw,True,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,453,18.955,5.479,69.83,38.062,145.046,43.438,35.468,50.056,A0,A0,A1,A0,A1,False,False,True,False,True,False,True,False,False,False,4,2,1,5,3,0.75,,0.0,1.0,0.5,nothing to share  the stud was good 
R_3fCMv1R9aYzsLld,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,2047,101.067,13.205,215.349,773.189,256.108,99.578,277.368,105.808,A0,A0,A4,A4,A0,False,False,True,True,False,True,True,False,True,False,4,1,5,3,2,,,1.0,,0.0,it was a good questionnaire about movie and it's reviews
R_1nO4NH1to65H7XK,True,The Dark Knight,Batman: Mask of the Phantasm,Streets of Fire,Takers,The Net,Miss Bala,434,6.555,7.378,60.616,61.346,80.267,55.611,54.9,57.3,A0,A0,A5,A5,A5,False,False,True,True,True,True,False,False,False,False,1,4,2,3,5,,0.6666666666666666,0.0,0.3333333333333333,1.0,Overall good I saw the Batman film before. And know on this list which I might try one day or those would avoid it.
R_DOiguE4txy3fT1L,True,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,3388,4.374,10.662,819.718,260.831,154.152,14.927,116.923,20.537,A0,A5,A0,A0,A0,False,True,False,False,False,True,False,False,False,False,3,2,5,1,4,,0.25,1.0,0.0,0.75,NOTHING
R_1hGXjdjfTLho8CT,True,The Dark Knight,Batman: Mask of the Phantasm,Streets of Fire,Takers,The Net,Miss Bala,3085,9.208,7.197,45.675,296.875,142.651,163.495,168.485,79.455,A0,A4,A0,A0,A3,False,True,False,False,True,False,False,False,True,False,3,1,2,5,4,0.6666666666666666,0.0,0.3333333333333333,,1.0,Thank you.
R_r10tjvIn1gE5w7T,True,The Dark Knight,Batman: Mask of the Phantasm,Streets of Fire,Takers,The Net,Miss Bala,743,8.269,6.136,43.976,236.814,108.286,96.201,98.203,103.293,A0,A3,A0,A2,A0,False,True,False,True,False,False,True,False,False,False,2,4,5,1,3,0.25,,1.0,0.0,0.5,no
R_2RPUXScEYzWNmi9,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,3041,13.336,6.348,327.933,621.973,606.502,592.778,495.372,243.587,A0,A3,A0,A5,A3,False,True,False,True,True,True,False,True,True,False,1,4,3,2,5,,0.0,,,1.0,"I tried to give my opinion, please respect it. Thanks"
R_OGW6GS1CSlylcJj,True,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,2499,6.948,5.561,31.906,983.339,492.518,758.111,78.969,122.131,A0,A2,A2,A0,A0,False,True,True,False,False,False,True,False,False,False,5,3,4,1,2,1.0,,0.75,0.0,0.25,
R_3mdScilZRJfwkPu,True,The Lord of the Rings: The Fellowship of the Ring,The Three Musketeers,The 7th Voyage of Sinbad,The Dark Crystal,Dragonslayer,The Adventures of Robin Hood,758,10.795,16.502,87.127,126.566,107.543,98.069,121.779,144.84,A0,A5,A5,A0,A4,False,True,True,False,True,True,True,True,True,True,5,3,2,1,4,,,,,,
R_Wv8G9DdtZMt5VG9,True,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,1232,8.37,13.346,131.136,187.166,240.232,199.016,154.387,256.891,A0,A4,A2,A4,A0,False,True,True,True,False,True,False,False,False,False,1,5,3,2,4,,1.0,0.3333333333333333,0.0,0.6666666666666666,good
R_2sYou8fJHaQmOHv,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,435,13.761,20.297,72.12,35.459,38.743,37.243,52.729,65.498,A0,A1,A5,A2,A5,False,True,True,True,True,False,False,False,False,True,3,5,4,1,2,0.5,1.0,0.75,0.0,,good
R_10BpqXWYQHgddpZ,True,The Lord of the Rings: The Fellowship of the Ring,The Three Musketeers,The 7th Voyage of Sinbad,The Dark Crystal,Dragonslayer,The Adventures of Robin Hood,1537,6.061,9.135,56.106,269.591,379.379,206.621,312.053,254.627,A4,A0,A0,A0,A0,True,False,False,False,False,True,True,True,True,True,4,3,1,2,5,,,,,,
R_1mygbo4EO5oeuUy,True,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,1979,8.626,5.1,1692.28,101.439,21.834,61.375,26.499,31.346,A4,A0,A0,A0,A2,True,False,False,False,True,True,False,False,False,False,4,2,5,1,3,,0.25,1.0,0.0,0.5,none
R_bBfexKEO1Pq7OqB,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,1670,3.517,4.995,25.15,279.194,299.157,431.119,195.087,402.323,A5,A0,A0,A1,A0,True,False,False,True,False,False,False,False,False,True,2,5,1,4,3,0.25,1.0,0.0,0.75,,None 
R_3qEEupzEW7JXPog,True,Toy Story,Miniscule: Valley of the Lost Ants,Winnie the Pooh,The Brave Little Toaster,The Peanuts Movie,The Rescuers,1444,2.972,404.249,264.817,35.572,51.759,554.16,56.581,37.278,A4,A0,A0,A3,A4,True,False,False,True,True,False,False,False,True,False,1,2,4,3,5,0.0,0.25,0.75,,1.0,no
R_3iUQUHSEIZ4tgUm,True,Mission: Impossible,The Saint,The Sentinel,Chain Reaction,Sneakers,Ice Station Zebra,910,4.301,8.074,138.724,237.335,166.572,116.136,96.878,106.893,A1,A0,A2,A0,A0,True,False,True,False,False,False,True,False,False,False,5,4,1,2,3,1.0,,0.0,0.25,0.5,None
R_3lSmVxGqEap2i5q,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,2190,9.236,17.912,554.955,163.683,129.715,213.983,332.555,239.604,A2,A0,A1,A0,A5,True,False,True,False,True,False,False,True,False,True,4,5,1,3,2,0.5,1.0,,0.0,,NO
R_daT6KC5DRdtQr7j,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,380,9.823,20.244,98.047,25.354,26.43,57.49,28.651,51.395,A3,A0,A3,A5,A0,True,False,True,True,False,True,False,False,False,False,3,2,5,1,4,,0.25,1.0,0.0,0.75,good
R_3sEci8p4mOzsjvz,True,Inception,When Nietzsche Wept,The Old Man & the Gun,Reminiscence,Infinite,The Forgotten,733,2.38,14.933,96.562,89.962,150.472,132.668,117.067,88.858,A2,A0,A4,A1,A1,True,False,True,True,True,False,False,False,False,False,4,3,5,2,1,0.75,0.5,1.0,0.25,0.0,Nothing to add really.
R_1Fy4dPWaKurf3f9,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,2499,5.765,46.635,451.107,199.845,283.781,417.74,207.452,429.028,A1,A4,A0,A0,A0,True,True,False,False,False,False,True,False,False,False,5,2,1,4,3,1.0,,0.0,0.75,0.5,nothing
R_2TO7mQYnbo0qqMC,True,Back to the Future,Real Genius,Silverado,Innerspace,Young Sherlock Holmes,Frequently Asked Questions,1692,7.962,15.264,316.083,265.075,220.668,382.358,284.335,162.458,A5,A1,A0,A0,A2,True,True,False,False,True,False,False,True,True,False,5,3,4,2,1,1.0,0.5,,,0.0,no
R_1dAoUHIhpHE8ZJ3,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,2866,3.945,192.891,380.594,205.249,52.655,235.28,257.738,359.56,A3,A2,A0,A4,A0,True,True,False,True,False,True,False,False,False,True,1,3,2,4,5,,0.5,0.0,1.0,,none
R_3szAbaBGJorRg0m,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,1178,6.635,5.299,19.734,288.653,48.047,265.072,78.41,286.654,A3,A2,A0,A1,A3,True,True,False,True,True,False,False,False,False,True,4,1,2,3,5,1.0,0.0,0.3333333333333333,0.6666666666666666,,none
R_3oYgJ7qrIWkkcqO,True,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,1471,10.362,20.301,168.004,129.083,261.434,245.902,421.578,173.002,A2,A5,A1,A0,A0,True,True,True,False,False,False,False,False,True,False,2,3,5,4,1,0.25,0.5,1.0,,0.0,None
R_rl15FtuzorQ3IHv,True,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,822,5.459,13.494,50.38,49.485,147.77,78.161,80.263,263.365,A5,A3,A4,A0,A4,True,True,True,False,True,False,False,False,True,False,4,3,5,2,1,0.75,0.5,1.0,,0.0,NONE
R_3shuT9qS72zYS8E,True,The Sixth Sense,Sleuth,Three Identical Strangers,Dream House,Dragonfly,Passengers,940,9.263,22.326,184.308,199.251,142.844,102.11,145.251,86.69,A1,A1,A3,A3,A0,True,True,True,True,False,False,False,False,False,False,4,3,5,1,2,0.75,0.5,1.0,0.0,0.25,
R_1NlbYCFdcA9p7pI,False,The Lord of the Rings: The Fellowship of the Ring,The Three Musketeers,The 7th Voyage of Sinbad,The Dark Crystal,Dragonslayer,The Adventures of Robin Hood,1054,12.131,100.038,58.637,262.466,225.13,153.02,76.871,117.611,A0,A0,A0,A0,A5,False,False,False,False,True,False,False,True,False,False,2,3,4,1,5,0.25,0.5,,0.0,1.0,Thank you.
R_2ql0rF6Mry2Pbaj,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,1546,17.578,10.951,164.178,53.981,32.674,140.5,887.117,143.779,A0,A0,A0,A5,A0,False,False,False,True,False,False,False,True,False,False,4,5,2,3,1,0.75,1.0,,0.5,0.0,no
R_1OlR6FVQZyDSNXv,False,The Lord of the Rings: The Fellowship of the Ring,The Three Musketeers,The 7th Voyage of Sinbad,The Dark Crystal,Dragonslayer,The Adventures of Robin Hood,788,16.122,14.168,168.319,110.796,119.306,116.313,81.103,98.507,A0,A0,A2,A0,A0,False,False,True,False,False,False,False,False,False,False,3,5,2,1,4,0.5,1.0,0.25,0.0,0.75,
R_1pu1X7FPOv5lCHa,False,The Lord of the Rings: The Fellowship of the Ring,The Three Musketeers,The 7th Voyage of Sinbad,The Dark Crystal,Dragonslayer,The Adventures of Robin Hood,2376,3.763,1062.177,21.428,111.395,584.002,40.144,216.223,214.054,A0,A0,A3,A0,A5,False,False,True,False,True,False,False,True,False,False,3,1,2,4,5,0.5,0.0,,0.75,1.0,Thank you.
R_2S6P3gtI4WyDmTD,False,Mission: Impossible,The Saint,The Sentinel,Chain Reaction,Sneakers,Ice Station Zebra,616,9.756,9.602,33.173,153.915,125.529,75.395,105.231,74.375,A0,A0,A5,A1,A0,False,False,True,True,False,False,True,False,False,False,5,4,1,2,3,1.0,,0.0,0.25,0.5,no
R_2qsctBQXI11ruV7,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,1884,7.514,17.598,432.104,127.445,138.798,156.616,128.35,154.731,A0,A0,A5,A4,A3,False,False,True,True,True,False,False,True,False,False,2,3,1,4,5,0.0,0.3333333333333333,,0.6666666666666666,1.0,no
R_b8Hpmlw2IXyjwEF,False,The Sixth Sense,Sleuth,Three Identical Strangers,Dream House,Dragonfly,Passengers,575,8.789,31.273,157.873,10.717,15.466,46.014,90.895,15.638,A0,A5,A0,A0,A0,False,True,False,False,False,False,False,True,False,False,5,2,4,1,3,1.0,0.25,,0.0,0.5,"Very Good Work, Thank You."
R_pE6zFIzK8Ii2Lhn,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,375,10.382,10.242,50.336,36.537,40.313,61.431,57.742,57.894,A0,A3,A0,A0,A1,False,True,False,False,True,False,False,False,False,True,5,4,3,2,1,1.0,0.6666666666666666,0.3333333333333333,0.0,,good
R_1rJGZJLeBudoVMI,False,The Dark Knight,Batman: Mask of the Phantasm,Streets of Fire,Takers,The Net,Miss Bala,1177,11.372,19.4,80.915,118.793,131.383,405.986,159.413,133.355,A0,A4,A0,A2,A0,False,True,False,True,False,False,True,False,False,False,2,1,5,3,4,0.0,,1.0,0.3333333333333333,0.6666666666666666,good
R_1cS0hYGdK0MSHYT,False,Toy Story,Miniscule: Valley of the Lost Ants,Winnie the Pooh,The Brave Little Toaster,The Peanuts Movie,The Rescuers,788,54.631,10.12,45.019,218.244,81.646,72.2,116.536,49.985,A0,A1,A0,A2,A5,False,True,False,True,True,False,False,False,True,False,3,5,1,2,4,0.5,1.0,0.0,,0.75,NICE
R_DOvQlmRwnaeFb0Z,False,The Dark Knight,Batman: Mask of the Phantasm,Streets of Fire,Takers,The Net,Miss Bala,1377,4.227,15.573,100.643,228.9,247.13,184.604,316.601,239.735,A0,A5,A3,A0,A0,False,True,True,False,False,False,False,False,True,False,1,3,5,2,4,0.0,0.5,1.0,,0.75,No
R_2wQY7SjSaPjhff5,False,The Lord of the Rings: The Fellowship of the Ring,The Three Musketeers,The 7th Voyage of Sinbad,The Dark Crystal,Dragonslayer,The Adventures of Robin Hood,2312,2.972,4.101,17.484,41.604,266.278,185.14,117.745,196.48,A0,A2,A4,A0,A4,False,True,True,False,True,False,False,True,False,False,2,1,3,4,5,0.25,0.0,,0.75,1.0,Thank you.
R_3s5D6v3dysLVJo3,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,7284,12.713,10.015,32.101,136.045,104.055,142.853,1712.206,172.366,A0,A4,A2,A3,A0,False,True,True,True,False,True,True,True,True,True,5,3,4,1,2,,,,,,Thanks for the survey!
R_RrgP5sc2hKdwpjP,False,Back to the Future,Real Genius,Silverado,Innerspace,Young Sherlock Holmes,Frequently Asked Questions,741,26.049,56.584,132.958,17.397,113.347,17.964,46.329,35.034,A0,A3,A2,A1,A1,False,True,True,True,True,True,False,True,True,False,3,1,2,5,4,,0.0,,,1.0,good
R_2TmJtBPujgiUXg9,False,Mission: Impossible,The Saint,The Sentinel,Chain Reaction,Sneakers,Ice Station Zebra,3318,5.593,15.252,106.846,430.095,1756.451,195.602,211.798,131.872,A3,A0,A0,A0,A0,True,False,False,False,False,True,False,False,False,False,4,3,1,2,5,,0.5,0.0,0.25,1.0,
